state,band,channel,node_importance,mean_signed_attribution
EC,Beta Medium,FC4,0.0013521174720369292,-0.0004387139735007317
EC,Beta High,FP1,0.0013501981308597349,0.0002144744581366224
EC,Beta Low,PZ,0.0013470768524056938,0.0005068608837794102
EC,Beta High,PO6,0.001346394973308011,0.0002602315960876344
EC,Beta High,F3,0.0013463010268464162,0.00026394538133855093
EC,Beta Low,PO5,0.001344895069362481,0.0005562661806603279
EC,Beta High,CP1,0.001344020466075763,0.0003709529132928166
EC,Beta High,PO4,0.0013425018926123441,0.00022609605895680508
EC,Beta High,F5,0.001342486382322652,0.00011088193698247748
EC,Beta Low,FC4,0.001341686058529329,0.0004617440324955307
EC,Beta Low,C4,0.0013405281312508248,0.0004323775841426439
EC,Beta High,PZ,0.0013403398908132828,0.0001666675097601573
EC,Beta Low,T8,0.0013401391628945114,0.00045577518696310614
EC,Beta High,FT8,0.001340021336908563,0.0003925925117382745
EC,Beta Low,P5,0.0013382789123957835,0.0005090475492723149
EC,Beta Medium,CPZ,0.001337159490715292,-0.00046972770112261236
EC,Beta Low,CP4,0.0013358475463655136,0.0005295879592764831
EC,Beta Low,P4,0.0013352459835803015,0.0005848625065139865
EC,Beta High,CPZ,0.0013345149029652256,0.00030367158477507855
EC,Beta Low,P8,0.0013344942579569643,0.0005913913213912083
EC,Beta Medium,P6,0.0013334872200998337,-0.0005727651601608078
EC,Beta Medium,PO7,0.0013333933278385519,-0.0006132273123799865
EC,Beta Low,F6,0.0013322161604315704,0.00040024433346457134
EC,Beta Low,PO7,0.0013301181241655875,0.0005308159192977122
EC,Beta Low,AF4,0.001329809888579222,0.00038256280605012864
EC,Beta Low,F7,0.0013264536563788313,0.00043657469900723785
EC,Beta High,OZ,0.0013202279059218174,0.00028532896207807395
EC,Beta Low,FT8,0.001315756165461334,0.00038428471365660195
EC,Beta Low,CP2,0.0013155794536590956,0.0004232224856371581
EC,Beta Low,CZ,0.0013144571893043157,0.0003483293486200578
EC,Beta Low,OZ,0.0013133585272752676,0.0005892288864496213
EC,Beta Low,FC6,0.0013123480967873256,0.0004451165056378301
EC,Beta Medium,CP5,0.0013123474356889053,-0.0004657302848748783
EC,Beta Low,POZ,0.0013117620747412177,0.0005338213266490293
EC,Beta Medium,C6,0.0013115917633464392,-0.000414404269540708
EC,Beta Low,FC1,0.0013115268885569532,0.00044140817955208204
EC,Beta Low,P6,0.0013112875697756643,0.0005901175033839829
EC,Beta Medium,FT7,0.0013108713187299312,-0.0004600715473836635
EC,Beta Low,FPZ,0.001309004822697903,0.0004197238648280107
EC,Beta Medium,AF3,0.0013066670069071902,-0.000494018329971435
EC,Beta Medium,CZ,0.0013063158189926716,-0.000456983967474837
EC,Beta Low,TP8,0.00130509998009531,0.00043832500232826826
EC,Beta Medium,CP3,0.00130422420751782,-0.00045300419616627004
EC,Beta Low,CPZ,0.0013000872946969234,0.00029633781828653026
EC,Beta Low,C6,0.0012997698543022811,0.0004600413508179658
EC,Beta Medium,FC2,0.0012991648654546563,-0.0004709479024219939
EC,Beta Medium,PO4,0.0012986577794769762,-0.0005397677603629929
EC,Beta High,P1,0.0012979574369430106,0.0003141667241166506
EC,Beta Medium,C2,0.001296948606185603,-0.00046690678456361357
EC,Beta Low,CP5,0.0012966651410438598,0.00046014233707537133
EC,Beta Low,F5,0.0012953840237137377,0.00032319225386200914
EC,Beta Medium,CP4,0.0012938552118407893,-0.0006155176276241892
EC,Beta Medium,P7,0.0012922011388472223,-0.0005106821749866284
EC,Beta Low,CB1,0.0012917800066662636,0.0005972719571046201
EC,Beta Medium,PO3,0.0012913471672850163,-0.0005501947536060701
EC,Beta Low,PO4,0.0012908564624139454,0.0005890330457687763
EC,Beta Medium,PO5,0.0012893173652510689,-0.0005924389102996152
EC,Beta Medium,CP6,0.0012891313394878608,-0.00044479342985559493
EC,Beta Low,F1,0.0012890075528116333,0.0004262630387245728
EC,Beta High,FP2,0.0012884228102787597,0.00016236643193494102
EC,Beta Low,PO3,0.0012873767863640312,0.0005684404484244602
EC,Beta Low,P7,0.0012849858218451698,0.00046062976279747275
EC,Beta Low,O1,0.0012819268905224276,0.0006012116550964449
EC,Beta Low,PO6,0.0012806185401095709,0.0006169127058653221
EC,Beta Medium,FZ,0.0012801367179418916,-0.0004775666777630957
EC,Beta Low,TP7,0.0012772832217709032,0.00046797601904349594
EC,Beta Medium,POZ,0.0012761538512012314,-0.00047363156871950255
EC,Beta Medium,FC5,0.0012752202883141595,-0.00029977783668817663
EC,Beta Low,O2,0.0012729329629728233,0.0006040144860051558
EC,Beta Medium,TP7,0.001272407337038677,-0.0004507775138462389
EC,Beta Low,CB2,0.0012714822628182966,0.0005281044883413403
EC,Beta Low,CP1,0.001271412829694344,0.0003417366479993399
EC,Beta Low,F3,0.0012692648565211515,0.0004276148174383893
EC,Beta Medium,PO6,0.0012671244807552768,-0.0005406817336827904
EC,Beta Medium,C4,0.0012636045956312932,-0.0004665981714782694
EC,Beta Medium,C3,0.0012621638427036208,-0.0003593788189431227
EC,Beta Low,T7,0.0012606881903092487,0.0004387004151928123
EC,Beta Medium,CB1,0.0012601234849600278,-0.0004892662372420742
